APM00134302216	10.152.4.91	VNX5100	VNX1	Denver
APM00133305821	10.7.19.250	VNX5300	VNX1	CIDC
CKM00133303294	10.65.139.17	VNX5500	VNX1	Runcorn
APM00143751658	10.8.125.57	VNX5600 VNX2	SEC
APM00114301766	10.146.96.177	VNX5700	VNX1	Rogers
APM00153919966	10.146.189.14	VNX7600 VNX2	Rogers
APM00114301769	10.145.96.189	VNX5700	VNX1	SEC
APM00124967595	10.8.68.26	VNX7500	VNX1	SEC
APM00133448181	10.8.125.50	VNX7500	VNX1	SEC
APM00133419283	10.22.80.132	VNX7500	VNX1	Coverall
APM00134101685	10.8.125.54	VNX7600	VNX2	SEC
APM00141214434	10.146.96.42	VNX7600	VNX2	Rogers
APM00143636863	10.13.142.13	VNX5200	VNX2	Edmonton
APM00144201868	10.24.140.13	VNX5200	VNX2	Mississauga
APM00123300655	10.184.54.33	VNX5300	VNX1	Ft.McMurray
APM00083601381 	10.22.80.98	CX4-480C	CX	CoverAll
APM00084300683	10.22.80.102	CX4-480C	CX	CoverAll
APM00072202349	156.44.16.146	CX3-40F	CX	Edmonton
APM00083601380	10.8.61.171	CX4-480C	CX	SEC
APM00084300988	10.8.125.29	CX4-480C	CX	SEC
APM00104502314	10.145.88.25	CX4-480C	CX	SEC
APM00104502315	10.145.88.23	CX4-480C	CX	SEC
FNM00103800596	10.145.88.21	CX4-480C	CX	SEC
APM00101901915	10.96.30.19	CX4-480C	CX	St.John's
APM00103800652	156.44.224.123	CX4-480C	CX	Montreal
